respondent_id,comment_text,hearing_date,ward,role,language,housing_tenure,school,validation_theme
SYN-0020,Will families be included when the new safety procedures are reviewed?,2026-09-02,7,Parent,Spanish,Owner,Community School A,school_safety
SYN-0021,How many additional clinicians will this proposal place in schools?,2026-09-07,8,Resident,English,Renter,Community School B,mental_health
SYN-0022,Long travel times are making after-school participation difficult.,2026-09-12,8,Parent,English,Owner,Community School D,transportation
SYN-0023,"After attending multiple hearings, I am increasingly concerned. Families need interpretation and disability accommodations at every meeting. I live at 123 Learning Street, Apt 24A.",2026-09-12,10,Parent,Spanish,Renter,Community School B,accessibility
SYN-0024,Regular multilingual updates would make this process easier to follow.,2026-09-07,10,Resident,English,Owner,Community School D,communication
SYN-0025,"After attending multiple hearings, I am increasingly concerned. Why are classroom positions being reduced when enrollment is stable?",2026-09-12,8,Community organizer,Spanish,Renter,Community School A,classroom_resources
SYN-0026,"After attending multiple hearings, I am increasingly concerned. Will families be included when the new safety procedures are reviewed? I live at 126 Public Square Road, Apt 27B.",2026-09-12,8,Resident,Spanish,Renter,Community School D,school_safety
SYN-0027,The district should fund trauma-informed services throughout the year.,2026-09-02,20,Parent,English,Renter,Community School A,mental_health
SYN-0028,Will the district publish route performance and missed-pickup data?,2026-09-07,10,Student,English,Other,Community School A,transportation
SYN-0029,Why was the accessibility plan not included with the proposal? Contact Taylor Parker at sample.person29@example.org or 312-555-1029.,2026-09-02,8,Parent,English,Renter,Community School A,accessibility
SYN-0030,"Regular multilingual updates would make this process easier to follow. I live at 130 Community Avenue, Apt 1A.",2026-09-07,10,Parent,English,Owner,Community School A,communication
SYN-0031,Class sizes are too large and students need more classroom materials.,2026-09-12,8,Teacher,English,Renter,Community School A,classroom_resources
SYN-0032,Students need a safer arrival plan and trained staff at dismissal. Contact Morgan Quinn at sample.person32@example.org or 312-555-1032.,2026-09-07,8,Resident,English,Renter,Community School C,school_safety
SYN-0033,The district should fund trauma-informed services throughout the year.,2026-09-02,5,Parent,English,Renter,Community School D,mental_health
SYN-0034,Long travel times are making after-school participation difficult.,2026-09-07,7,Parent,English,Renter,Community School B,transportation
SYN-0035,Why was the accessibility plan not included with the proposal?,2026-09-12,7,Parent,English,Renter,Community School A,accessibility
SYN-0036,Regular multilingual updates would make this process easier to follow.,2026-09-02,8,Resident,Spanish,Renter,Community School B,communication
SYN-0037,The proposal should add counselors instead of cutting school staff.,2026-09-07,6,Parent,English,Renter,Community School D,classroom_resources
SYN-0038,Broken exterior lighting has been reported repeatedly without a response.,2026-09-12,10,Resident,Spanish,Owner,Community School C,school_safety
SYN-0039,How many additional clinicians will this proposal place in schools?,2026-09-12,10,Teacher,English,Other,Community School C,mental_health
SYN-0040,"Families need clear transportation updates before routes change. I live at 140 Community Avenue, Apt 11C.",2026-09-12,8,Teacher,English,Renter,Community School D,transportation
SYN-0041,Families need interpretation and disability accommodations at every meeting.,2026-09-02,7,Parent,Mandarin,Renter,Community School C,accessibility
SYN-0042,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-07,20,Parent,English,Renter,Community School B,communication
SYN-0043,"After attending multiple hearings, I am increasingly concerned. The proposal should add counselors instead of cutting school staff.",2026-09-12,8,Resident,English,Renter,Community School A,classroom_resources
SYN-0044,Will families be included when the new safety procedures are reviewed?,2026-09-07,6,Student,English,Renter,Community School D,school_safety
SYN-0045,Students are waiting too long for mental-health support. Contact Taylor Brooks at sample.person45@example.org or 312-555-1045.,2026-09-07,6,Resident,English,Owner,Community School D,mental_health
SYN-0046,The current bus schedule causes students to arrive late.,2026-09-02,8,Resident,English,Other,Community School A,transportation
SYN-0047,Families need interpretation and disability accommodations at every meeting.,2026-09-07,8,Community organizer,English,Renter,Community School A,accessibility
SYN-0048,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-12,10,Parent,English,Owner,Community School A,communication
SYN-0049,Why are classroom positions being reduced when enrollment is stable?,2026-09-07,8,Parent,English,Renter,Community School C,classroom_resources
SYN-0050,Students need a safer arrival plan and trained staff at dismissal.,2026-09-07,8,Teacher,English,Renter,Community School C,school_safety
SYN-0051,"How many additional clinicians will this proposal place in schools? I live at 151 Public Square Road, Apt 22A.",2026-09-02,10,Parent,English,Owner,Community School A,mental_health
SYN-0052,The current bus schedule causes students to arrive late.,2026-09-02,20,Student,English,Other,Community School D,transportation
SYN-0053,Families need interpretation and disability accommodations at every meeting.,2026-09-12,20,Student,English,Renter,Community School D,accessibility
SYN-0054,Regular multilingual updates would make this process easier to follow.,2026-09-07,5,Parent,English,Renter,Community School B,communication
SYN-0055,Why are classroom positions being reduced when enrollment is stable?,2026-09-02,10,Parent,Spanish,Renter,Community School C,classroom_resources
SYN-0056,"After attending multiple hearings, I am increasingly concerned. Students need a safer arrival plan and trained staff at dismissal.",2026-09-12,10,Teacher,English,Renter,Community School D,school_safety
SYN-0057,How many additional clinicians will this proposal place in schools?,2026-09-07,7,Parent,English,Renter,Community School B,mental_health
SYN-0058,The current bus schedule causes students to arrive late.,2026-09-02,8,Student,English,Renter,Community School B,transportation
SYN-0059,Why was the accessibility plan not included with the proposal?,2026-09-02,8,Parent,English,Owner,Community School C,accessibility
SYN-0060,Regular multilingual updates would make this process easier to follow. Contact Avery Reed at sample.person60@example.org or 312-555-1060.,2026-09-02,6,Parent,English,Owner,Community School C,communication
SYN-0061,Why are classroom positions being reduced when enrollment is stable?,2026-09-12,8,Parent,English,Owner,Community School D,classroom_resources
SYN-0062,"After attending multiple hearings, I am increasingly concerned. Please explain how the safety budget will be used at each school.",2026-09-12,7,Parent,English,Owner,Community School B,school_safety
SYN-0063,How many additional clinicians will this proposal place in schools?,2026-09-12,10,Parent,English,Renter,Community School C,mental_health
SYN-0064,Long travel times are making after-school participation difficult.,2026-09-12,10,Parent,English,Renter,Community School D,transportation
SYN-0065,"After attending multiple hearings, I am increasingly concerned. The online form must work with keyboards and screen readers.",2026-09-12,8,Parent,English,Renter,Community School C,accessibility
SYN-0066,Who is responsible for answering questions submitted at the hearing?,2026-09-12,10,Student,English,Renter,Community School B,communication
SYN-0067,"The proposal should add counselors instead of cutting school staff. I live at 167 Learning Street, Apt 8B.",2026-09-07,8,Parent,English,Owner,Community School B,classroom_resources
SYN-0068,Please explain how the safety budget will be used at each school.,2026-09-02,7,Parent,English,Owner,Community School C,school_safety
SYN-0069,How many additional clinicians will this proposal place in schools?,2026-09-02,10,Parent,English,Owner,Community School A,mental_health
SYN-0070,The current bus schedule causes students to arrive late.,2026-09-02,6,Parent,English,Renter,Community School D,transportation
SYN-0071,Meeting materials should be accessible before the public hearing.,2026-09-12,6,Student,English,Owner,Community School C,accessibility
SYN-0072,"After attending multiple hearings, I am increasingly concerned. Please publish decisions, supporting data, and meeting dates in one place.",2026-09-12,8,Parent,English,Renter,Community School B,communication
SYN-0073,"After attending multiple hearings, I am increasingly concerned. Class sizes are too large and students need more classroom materials. I live at 173 Civic Way, Apt 14C.",2026-09-12,6,Parent,English,Renter,Community School A,classroom_resources
SYN-0074,"After attending multiple hearings, I am increasingly concerned. Broken exterior lighting has been reported repeatedly without a response.",2026-09-12,5,Teacher,English,Renter,Community School A,school_safety
SYN-0075,How many additional clinicians will this proposal place in schools?,2026-09-02,8,Teacher,English,Renter,Community School A,mental_health
SYN-0076,Long travel times are making after-school participation difficult.,2026-09-07,8,Parent,English,Other,Community School D,transportation
SYN-0077,The online form must work with keyboards and screen readers.,2026-09-07,10,Resident,English,Owner,Community School B,accessibility
SYN-0078,Families received the notice too late to prepare meaningful comments.,2026-09-07,8,Parent,English,Renter,Community School D,communication
SYN-0079,Why are classroom positions being reduced when enrollment is stable?,2026-09-07,10,Parent,English,Renter,Community School A,classroom_resources
SYN-0080,Broken exterior lighting has been reported repeatedly without a response.,2026-09-02,8,Parent,English,Renter,Community School B,school_safety
SYN-0081,How many additional clinicians will this proposal place in schools?,2026-09-12,7,Parent,English,Renter,Community School C,mental_health
SYN-0082,Will the district publish route performance and missed-pickup data?,2026-09-07,7,Community organizer,Polish,Renter,Community School A,transportation
SYN-0083,Why was the accessibility plan not included with the proposal?,2026-09-07,6,Parent,English,Renter,Community School B,accessibility
SYN-0084,Regular multilingual updates would make this process easier to follow.,2026-09-12,5,Community organizer,English,Renter,Community School B,communication
SYN-0085,The proposal should add counselors instead of cutting school staff.,2026-09-02,7,Parent,Spanish,Renter,Community School C,classroom_resources
SYN-0086,Students need a safer arrival plan and trained staff at dismissal.,2026-09-02,8,Resident,English,Renter,Community School A,school_safety
SYN-0087,Students are waiting too long for mental-health support.,2026-09-12,10,Parent,Spanish,Renter,Community School B,mental_health
SYN-0088,Families need clear transportation updates before routes change.,2026-09-02,8,Parent,English,Owner,Community School A,transportation
SYN-0089,Why was the accessibility plan not included with the proposal?,2026-09-12,10,Parent,English,Renter,Community School C,accessibility
SYN-0090,"Regular multilingual updates would make this process easier to follow. I live at 190 Public Square Road, Apt 1B.",2026-09-07,8,Resident,English,Owner,Community School C,communication
SYN-0091,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-02,7,Parent,English,Renter,Community School B,classroom_resources
SYN-0092,Will families be included when the new safety procedures are reviewed?,2026-09-07,7,Parent,Spanish,Owner,Community School B,school_safety
SYN-0093,How many additional clinicians will this proposal place in schools?,2026-09-12,7,Parent,English,Other,Community School A,mental_health
SYN-0094,Families need clear transportation updates before routes change.,2026-09-12,10,Parent,English,Renter,Community School C,transportation
SYN-0095,Why was the accessibility plan not included with the proposal?,2026-09-02,10,Parent,English,Owner,Community School C,accessibility
SYN-0096,Families received the notice too late to prepare meaningful comments.,2026-09-07,10,Teacher,English,Owner,Community School A,communication
SYN-0097,"After attending multiple hearings, I am increasingly concerned. The proposal should add counselors instead of cutting school staff.",2026-09-12,7,Teacher,Polish,Owner,Community School A,classroom_resources
SYN-0098,Will families be included when the new safety procedures are reviewed?,2026-09-02,8,Parent,Spanish,Renter,Community School C,school_safety
SYN-0099,Every school needs reliable access to social workers and counselors. Contact Jordan Hayes at sample.person99@example.org or 312-555-1099.,2026-09-02,6,Parent,English,Renter,Community School B,mental_health
SYN-0100,"Families need clear transportation updates before routes change. I live at 200 Civic Way, Apt 11C.",2026-09-12,6,Teacher,English,Renter,Community School B,transportation
SYN-0101,Why was the accessibility plan not included with the proposal?,2026-09-07,8,Resident,English,Renter,Community School C,accessibility
SYN-0102,Families received the notice too late to prepare meaningful comments.,2026-09-02,7,Resident,English,Renter,Community School D,communication
SYN-0103,Class sizes are too large and students need more classroom materials.,2026-09-02,10,Parent,English,Renter,Community School A,classroom_resources
SYN-0104,Will families be included when the new safety procedures are reviewed?,2026-09-07,6,Parent,English,Renter,Community School C,school_safety
SYN-0105,Students are waiting too long for mental-health support. Contact Avery Reed at sample.person105@example.org or 312-555-1105.,2026-09-12,5,Parent,English,Renter,Community School D,mental_health
SYN-0106,"After attending multiple hearings, I am increasingly concerned. Long travel times are making after-school participation difficult.",2026-09-12,10,Teacher,English,Renter,Community School A,transportation
SYN-0107,"After attending multiple hearings, I am increasingly concerned. Families need interpretation and disability accommodations at every meeting.",2026-09-12,10,Parent,English,Other,Community School B,accessibility
SYN-0108,Families received the notice too late to prepare meaningful comments.,2026-09-12,5,Community organizer,English,Owner,Community School B,communication
SYN-0109,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-12,8,Resident,English,Other,Community School D,classroom_resources
SYN-0110,Will families be included when the new safety procedures are reviewed?,2026-09-02,8,Parent,English,Renter,Community School C,school_safety
SYN-0111,The district should fund trauma-informed services throughout the year.,2026-09-12,10,Parent,English,Renter,Community School C,mental_health
SYN-0112,"Families need clear transportation updates before routes change. I live at 212 Learning Street, Apt 23B.",2026-09-02,8,Parent,English,Renter,Community School A,transportation
SYN-0113,Why was the accessibility plan not included with the proposal?,2026-09-02,5,Parent,English,Owner,Community School B,accessibility
SYN-0114,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-02,7,Community organizer,Mandarin,Renter,Community School C,communication
SYN-0115,Class sizes are too large and students need more classroom materials.,2026-09-02,10,Parent,English,Renter,Community School A,classroom_resources
SYN-0116,"Please explain how the safety budget will be used at each school. I live at 216 Community Avenue, Apt 27A.",2026-09-07,7,Teacher,English,Renter,Community School B,school_safety
SYN-0117,"After attending multiple hearings, I am increasingly concerned. Every school needs reliable access to social workers and counselors.",2026-09-12,6,Parent,English,Renter,Community School B,mental_health
SYN-0118,"After attending multiple hearings, I am increasingly concerned. Long travel times are making after-school participation difficult.",2026-09-12,10,Parent,English,Owner,Community School D,transportation
SYN-0119,Why was the accessibility plan not included with the proposal?,2026-09-02,6,Parent,English,Renter,Community School A,accessibility
SYN-0120,Regular multilingual updates would make this process easier to follow.,2026-09-07,7,Parent,English,Renter,Community School D,communication
SYN-0121,Why are classroom positions being reduced when enrollment is stable?,2026-09-07,7,Parent,English,Renter,Community School D,classroom_resources
SYN-0122,Will families be included when the new safety procedures are reviewed?,2026-09-12,10,Community organizer,Mandarin,Owner,Community School A,school_safety
SYN-0123,"Every school needs reliable access to social workers and counselors. I live at 223 Community Avenue, Apt 4B.",2026-09-07,6,Parent,Spanish,Owner,Community School D,mental_health
SYN-0124,"After attending multiple hearings, I am increasingly concerned. Will the district publish route performance and missed-pickup data?",2026-09-12,10,Teacher,English,Owner,Community School B,transportation
SYN-0125,Families need interpretation and disability accommodations at every meeting.,2026-09-02,20,Parent,Spanish,Renter,Community School C,accessibility
SYN-0126,Who is responsible for answering questions submitted at the hearing?,2026-09-07,8,Teacher,English,Other,Community School B,communication
SYN-0127,Class sizes are too large and students need more classroom materials.,2026-09-07,7,Resident,English,Renter,Community School C,classroom_resources
SYN-0128,Please explain how the safety budget will be used at each school.,2026-09-07,6,Parent,English,Owner,Community School A,school_safety
SYN-0129,Every school needs reliable access to social workers and counselors.,2026-09-07,8,Community organizer,English,Renter,Community School A,mental_health
SYN-0130,Long travel times are making after-school participation difficult.,2026-09-07,8,Resident,English,Renter,Community School A,transportation
SYN-0131,The online form must work with keyboards and screen readers.,2026-09-12,10,Parent,English,Owner,Community School B,accessibility
SYN-0132,"After attending multiple hearings, I am increasingly concerned. Regular multilingual updates would make this process easier to follow. I live at 232 Civic Way, Apt 13B.",2026-09-12,20,Parent,English,Renter,Community School C,communication
SYN-0133,Class sizes are too large and students need more classroom materials.,2026-09-02,8,Parent,Mandarin,Renter,Community School C,classroom_resources
SYN-0134,"Students need a safer arrival plan and trained staff at dismissal. I live at 234 Civic Way, Apt 15A.",2026-09-02,8,Resident,English,Owner,Community School C,school_safety
SYN-0135,"After attending multiple hearings, I am increasingly concerned. Every school needs reliable access to social workers and counselors. Contact Avery Parker at sample.person135@example.org or 312-555-1135.",2026-09-12,7,Resident,English,Renter,Community School C,mental_health
SYN-0136,The current bus schedule causes students to arrive late.,2026-09-02,20,Teacher,English,Renter,Community School C,transportation
SYN-0137,Why was the accessibility plan not included with the proposal?,2026-09-12,6,Parent,English,Renter,Community School A,accessibility
SYN-0138,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-02,8,Parent,English,Owner,Community School D,communication
SYN-0139,Class sizes are too large and students need more classroom materials.,2026-09-12,5,Parent,English,Owner,Community School C,classroom_resources
SYN-0140,Students need a safer arrival plan and trained staff at dismissal.,2026-09-07,20,Parent,English,Renter,Community School B,school_safety
SYN-0141,The district should fund trauma-informed services throughout the year.,2026-09-07,10,Resident,English,Owner,Community School B,mental_health
SYN-0142,Long travel times are making after-school participation difficult.,2026-09-07,8,Parent,English,Renter,Community School C,transportation
SYN-0143,Families need interpretation and disability accommodations at every meeting.,2026-09-07,20,Parent,Mandarin,Renter,Community School A,accessibility
SYN-0144,Families received the notice too late to prepare meaningful comments.,2026-09-07,10,Teacher,English,Renter,Community School C,communication
SYN-0145,"After attending multiple hearings, I am increasingly concerned. The proposal should add counselors instead of cutting school staff.",2026-09-12,7,Community organizer,English,Renter,Community School A,classroom_resources
SYN-0146,"After attending multiple hearings, I am increasingly concerned. Broken exterior lighting has been reported repeatedly without a response.",2026-09-12,8,Resident,Spanish,Owner,Community School D,school_safety
SYN-0147,How many additional clinicians will this proposal place in schools?,2026-09-07,10,Parent,Spanish,Renter,Community School A,mental_health
SYN-0148,Will the district publish route performance and missed-pickup data?,2026-09-07,20,Teacher,English,Renter,Community School D,transportation
SYN-0149,"After attending multiple hearings, I am increasingly concerned. Meeting materials should be accessible before the public hearing.",2026-09-12,8,Parent,English,Renter,Community School A,accessibility
SYN-0150,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-02,6,Parent,English,Renter,Community School C,communication
SYN-0151,"After attending multiple hearings, I am increasingly concerned. Class sizes are too large and students need more classroom materials.",2026-09-12,20,Student,English,Renter,Community School D,classroom_resources
SYN-0152,"After attending multiple hearings, I am increasingly concerned. Broken exterior lighting has been reported repeatedly without a response. I live at 252 Learning Street, Apt 3C.",2026-09-12,10,Parent,Spanish,Other,Community School D,school_safety
SYN-0153,How many additional clinicians will this proposal place in schools? Contact Jordan Hayes at sample.person153@example.org or 312-555-1153.,2026-09-12,6,Resident,English,Renter,Community School C,mental_health
SYN-0154,Long travel times are making after-school participation difficult.,2026-09-02,8,Resident,English,Renter,Community School C,transportation
SYN-0155,Why was the accessibility plan not included with the proposal?,2026-09-02,20,Parent,English,Renter,Community School B,accessibility
SYN-0156,Who is responsible for answering questions submitted at the hearing?,2026-09-02,8,Parent,English,Renter,Community School D,communication
SYN-0157,Class sizes are too large and students need more classroom materials.,2026-09-12,6,Parent,English,Renter,Community School A,classroom_resources
SYN-0158,"After attending multiple hearings, I am increasingly concerned. Students need a safer arrival plan and trained staff at dismissal.",2026-09-12,8,Resident,English,Owner,Community School C,school_safety
SYN-0159,Every school needs reliable access to social workers and counselors.,2026-09-02,6,Teacher,English,Renter,Community School D,mental_health
SYN-0160,Long travel times are making after-school participation difficult.,2026-09-07,5,Parent,English,Owner,Community School D,transportation
SYN-0161,"Families need interpretation and disability accommodations at every meeting. I live at 261 Civic Way, Apt 12B.",2026-09-12,8,Resident,English,Renter,Community School D,accessibility
SYN-0162,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-02,10,Parent,Spanish,Renter,Community School A,communication
SYN-0163,Class sizes are too large and students need more classroom materials.,2026-09-07,6,Resident,English,Renter,Community School B,classroom_resources
SYN-0164,Broken exterior lighting has been reported repeatedly without a response.,2026-09-12,5,Parent,English,Other,Community School D,school_safety
SYN-0165,"After attending multiple hearings, I am increasingly concerned. Students are waiting too long for mental-health support.",2026-09-12,10,Parent,English,Owner,Community School A,mental_health
SYN-0166,Will the district publish route performance and missed-pickup data?,2026-09-02,10,Resident,Spanish,Renter,Community School C,transportation
SYN-0167,Why was the accessibility plan not included with the proposal?,2026-09-02,6,Teacher,English,Owner,Community School B,accessibility
SYN-0168,Regular multilingual updates would make this process easier to follow.,2026-09-07,20,Parent,English,Owner,Community School A,communication
SYN-0169,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-02,8,Parent,English,Renter,Community School B,classroom_resources
SYN-0170,"Broken exterior lighting has been reported repeatedly without a response. I live at 270 Public Square Road, Apt 21C.",2026-09-07,5,Student,Mandarin,Owner,Community School D,school_safety
SYN-0171,"Students are waiting too long for mental-health support. I live at 271 Public Square Road, Apt 22A.",2026-09-12,20,Parent,English,Renter,Community School A,mental_health
SYN-0172,Will the district publish route performance and missed-pickup data?,2026-09-02,8,Parent,English,Owner,Community School C,transportation
SYN-0173,Families need interpretation and disability accommodations at every meeting.,2026-09-02,8,Parent,Spanish,Other,Community School B,accessibility
SYN-0174,Who is responsible for answering questions submitted at the hearing?,2026-09-07,8,Parent,English,Other,Community School D,communication
SYN-0175,The proposal should add counselors instead of cutting school staff.,2026-09-12,8,Teacher,English,Other,Community School A,classroom_resources
SYN-0176,Please explain how the safety budget will be used at each school.,2026-09-12,7,Parent,English,Renter,Community School B,school_safety
SYN-0177,"The district should fund trauma-informed services throughout the year. I live at 277 Public Square Road, Apt 28C.",2026-09-07,10,Teacher,English,Renter,Community School C,mental_health
SYN-0178,Long travel times are making after-school participation difficult.,2026-09-07,7,Community organizer,English,Owner,Community School D,transportation
SYN-0179,Meeting materials should be accessible before the public hearing.,2026-09-07,20,Student,English,Renter,Community School B,accessibility
SYN-0180,"After attending multiple hearings, I am increasingly concerned. Regular multilingual updates would make this process easier to follow.",2026-09-12,10,Parent,English,Renter,Community School D,communication
SYN-0181,The proposal should add counselors instead of cutting school staff.,2026-09-02,6,Parent,English,Renter,Community School C,classroom_resources
SYN-0182,Will families be included when the new safety procedures are reviewed?,2026-09-02,10,Resident,Polish,Renter,Community School C,school_safety
SYN-0183,The district should fund trauma-informed services throughout the year. Contact Riley Quinn at sample.person183@example.org or 312-555-1183.,2026-09-12,10,Parent,English,Renter,Community School B,mental_health
SYN-0184,The current bus schedule causes students to arrive late.,2026-09-02,8,Parent,English,Renter,Community School A,transportation
SYN-0185,Meeting materials should be accessible before the public hearing.,2026-09-02,7,Teacher,English,Renter,Community School D,accessibility
SYN-0186,"After attending multiple hearings, I am increasingly concerned. Please publish decisions, supporting data, and meeting dates in one place.",2026-09-12,8,Resident,English,Owner,Community School A,communication
SYN-0187,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-07,20,Teacher,English,Renter,Community School D,classroom_resources
SYN-0188,"After attending multiple hearings, I am increasingly concerned. Please explain how the safety budget will be used at each school.",2026-09-12,5,Parent,English,Owner,Community School A,school_safety
SYN-0189,Every school needs reliable access to social workers and counselors.,2026-09-12,8,Parent,English,Renter,Community School C,mental_health
SYN-0190,The current bus schedule causes students to arrive late.,2026-09-07,6,Parent,English,Renter,Community School C,transportation
SYN-0191,Families need interpretation and disability accommodations at every meeting.,2026-09-12,5,Parent,English,Other,Community School C,accessibility
SYN-0192,"Please publish decisions, supporting data, and meeting dates in one place. I live at 292 Learning Street, Apt 13B.",2026-09-02,7,Parent,Spanish,Renter,Community School A,communication
SYN-0193,"After attending multiple hearings, I am increasingly concerned. The proposal should add counselors instead of cutting school staff.",2026-09-12,10,Teacher,English,Renter,Community School B,classroom_resources
SYN-0194,Students need a safer arrival plan and trained staff at dismissal.,2026-09-07,7,Parent,English,Renter,Community School A,school_safety
SYN-0195,"After attending multiple hearings, I am increasingly concerned. Every school needs reliable access to social workers and counselors.",2026-09-12,20,Resident,English,Renter,Community School B,mental_health
SYN-0196,"Long travel times are making after-school participation difficult. I live at 296 Civic Way, Apt 17A.",2026-09-02,5,Student,Polish,Renter,Community School A,transportation
SYN-0197,"After attending multiple hearings, I am increasingly concerned. The online form must work with keyboards and screen readers.",2026-09-12,8,Parent,English,Renter,Community School A,accessibility
SYN-0198,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-07,10,Teacher,English,Renter,Community School B,communication
SYN-0199,The proposal should add counselors instead of cutting school staff.,2026-09-07,5,Teacher,English,Renter,Community School A,classroom_resources
SYN-0200,Will families be included when the new safety procedures are reviewed?,2026-09-02,6,Parent,Spanish,Other,Community School B,school_safety
SYN-0201,"After attending multiple hearings, I am increasingly concerned. The district should fund trauma-informed services throughout the year.",2026-09-12,20,Parent,English,Owner,Community School A,mental_health
SYN-0202,Will the district publish route performance and missed-pickup data?,2026-09-07,8,Teacher,English,Renter,Community School A,transportation
SYN-0203,Meeting materials should be accessible before the public hearing. Contact Riley Parker at sample.person203@example.org or 312-555-1203.,2026-09-12,8,Parent,English,Renter,Community School A,accessibility
SYN-0204,Families received the notice too late to prepare meaningful comments.,2026-09-02,6,Teacher,English,Renter,Community School D,communication
SYN-0205,"After attending multiple hearings, I am increasingly concerned. Please protect funding for teachers, books, and after-school tutoring.",2026-09-12,8,Parent,English,Renter,Community School B,classroom_resources
SYN-0206,"After attending multiple hearings, I am increasingly concerned. Will families be included when the new safety procedures are reviewed? Contact Riley Lane at sample.person206@example.org or 312-555-1206.",2026-09-12,8,Teacher,English,Renter,Community School A,school_safety
SYN-0207,Every school needs reliable access to social workers and counselors.,2026-09-02,20,Community organizer,English,Owner,Community School C,mental_health
SYN-0208,Will the district publish route performance and missed-pickup data?,2026-09-12,5,Parent,English,Owner,Community School C,transportation
SYN-0209,The online form must work with keyboards and screen readers.,2026-09-07,20,Resident,English,Renter,Community School A,accessibility
SYN-0210,Who is responsible for answering questions submitted at the hearing?,2026-09-12,8,Resident,English,Renter,Community School B,communication
SYN-0211,Why are classroom positions being reduced when enrollment is stable?,2026-09-07,6,Parent,English,Renter,Community School D,classroom_resources
SYN-0212,"After attending multiple hearings, I am increasingly concerned. Broken exterior lighting has been reported repeatedly without a response.",2026-09-12,6,Parent,English,Renter,Community School B,school_safety
SYN-0213,Every school needs reliable access to social workers and counselors.,2026-09-02,7,Resident,English,Owner,Community School A,mental_health
SYN-0214,"After attending multiple hearings, I am increasingly concerned. Will the district publish route performance and missed-pickup data?",2026-09-12,8,Teacher,English,Renter,Community School A,transportation
SYN-0215,The online form must work with keyboards and screen readers.,2026-09-12,5,Resident,English,Renter,Community School B,accessibility
SYN-0216,"Please publish decisions, supporting data, and meeting dates in one place.",2026-09-07,8,Parent,English,Renter,Community School C,communication
SYN-0217,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-02,6,Resident,English,Renter,Community School B,classroom_resources
